filename,xmin,ymin,xmax,ymax,width,height,class
007826.jpg,80,217,320,273,500,375,diningtable
007826.jpg,197,193,257,326,500,375,chair
007826.jpg,139,184,185,231,500,375,chair
007826.jpg,258,180,312,314,500,375,chair
007826.jpg,10,195,93,358,500,375,chair
007826.jpg,82,252,243,372,500,375,chair
007826.jpg,43,319,144,375,500,375,chair
002786.jpg,80,97,348,272,500,332,horse
002786.jpg,201,52,258,202,500,332,person
006286.jpg,80,88,405,375,500,375,person
006286.jpg,436,147,475,209,500,375,person
006286.jpg,381,145,428,191,500,375,person
006286.jpg,402,219,500,375,500,375,diningtable
006286.jpg,347,177,405,216,500,375,diningtable
006286.jpg,160,167,203,188,500,375,diningtable
006286.jpg,104,185,209,279,500,375,diningtable
006286.jpg,1,322,82,375,500,375,diningtable
006286.jpg,2,169,53,225,500,375,diningtable
006286.jpg,408,241,500,375,500,375,chair
006286.jpg,49,178,135,279,500,375,chair
006286.jpg,135,164,167,188,500,375,chair
006286.jpg,150,184,233,290,500,375,chair
006286.jpg,19,167,65,231,500,375,chair
006286.jpg,56,163,95,209,500,375,chair
006286.jpg,97,177,152,203,500,375,chair
006286.jpg,184,166,231,194,500,375,chair
006286.jpg,196,181,240,208,500,375,chair
006286.jpg,400,178,454,232,500,375,chair
006286.jpg,1,169,32,174,500,375,chair
002962.jpg,430,121,500,205,500,334,tvmonitor
002962.jpg,192,1,466,326,500,334,person
002962.jpg,1,146,128,331,500,334,person
008297.jpg,2,2,500,375,500,375,bird
009189.jpg,464,241,500,291,500,378,cow
009189.jpg,405,226,449,281,500,378,cow
009189.jpg,304,224,366,261,500,378,cow
009189.jpg,231,212,287,245,500,378,cow
009189.jpg,123,186,227,250,500,378,cow
009189.jpg,70,178,120,237,500,378,cow
009823.jpg,3,4,498,374,500,375,dog
002976.jpg,3,199,240,500,251,500,person
002976.jpg,202,361,251,471,251,500,person
002745.jpg,213,59,312,442,375,500,bottle
002745.jpg,195,273,367,383,375,500,pottedplant
002745.jpg,303,115,375,228,375,500,pottedplant
006523.jpg,189,186,312,230,500,375,aeroplane
008268.jpg,461,148,495,172,500,334,car
008268.jpg,22,85,471,324,500,334,car
008268.jpg,1,129,158,244,500,334,car
004452.jpg,411,251,454,302,500,375,aeroplane
002023.jpg,27,47,483,300,500,362,car
005980.jpg,53,8,420,312,500,375,cat
004446.jpg,226,213,429,343,500,375,cat
004446.jpg,132,1,376,280,500,375,pottedplant
002037.jpg,100,89,402,367,500,375,bird
009162.jpg,220,64,461,331,500,386,chair
006251.jpg,75,238,146,286,500,375,sheep
006251.jpg,160,221,201,255,500,375,sheep
006251.jpg,127,232,179,269,500,375,sheep
006251.jpg,397,225,426,263,500,375,sheep
006251.jpg,323,222,361,260,500,375,sheep
006251.jpg,227,232,272,269,500,375,sheep
006251.jpg,259,220,293,256,500,375,sheep
006251.jpg,170,199,203,221,500,375,sheep
006251.jpg,220,202,238,220,500,375,sheep
006251.jpg,379,223,400,247,500,375,sheep
006251.jpg,358,199,382,218,500,375,sheep
006251.jpg,383,199,408,218,500,375,sheep
006251.jpg,275,211,302,237,500,375,sheep
000620.jpg,114,182,303,309,500,344,car
000620.jpg,51,267,71,280,500,344,car
000620.jpg,19,272,36,284,500,344,car
000146.jpg,155,208,252,408,374,500,person
007629.jpg,308,54,418,374,500,375,person
001258.jpg,101,92,423,287,500,375,car
001258.jpg,307,103,414,180,500,375,car
002751.jpg,104,174,318,305,500,375,bicycle
002751.jpg,150,114,296,262,500,375,person
002751.jpg,454,50,500,149,500,375,person
002751.jpg,374,85,411,142,500,375,chair
002751.jpg,121,82,212,143,500,375,bicycle
002989.jpg,281,149,339,204,500,333,tvmonitor
002989.jpg,461,195,500,300,500,333,chair
002989.jpg,436,163,500,291,500,333,chair
002989.jpg,306,213,443,333,500,333,chair
002989.jpg,81,178,197,265,500,333,chair
002989.jpg,219,163,284,204,500,333,sofa
002989.jpg,1,193,143,333,500,333,sofa
007601.jpg,19,68,482,299,500,375,car
007601.jpg,2,91,50,181,500,375,car
001270.jpg,31,126,448,234,500,357,aeroplane
002779.jpg,32,132,229,234,500,331,car
002779.jpg,284,126,440,243,500,331,car
005016.jpg,10,121,196,183,500,333,aeroplane
005016.jpg,119,53,489,190,500,333,aeroplane
003301.jpg,129,174,184,208,500,333,person
003301.jpg,151,227,202,278,500,333,hand
003301.jpg,111,44,188,128,500,333,hand
003301.jpg,97,41,271,333,500,333,head
003301.jpg,104,196,236,294,500,333,dog
003301.jpg,96,190,291,333,500,333,chair
003301.jpg,4,110,109,309,500,333,pottedplant
006279.jpg,31,127,499,244,500,375,aeroplane
007167.jpg,9,98,347,219,500,375,car
007167.jpg,51,107,500,306,500,375,car
007167.jpg,338,114,388,171,500,375,person
007167.jpg,198,113,224,138,500,375,person
008254.jpg,1,51,418,314,500,333,cat
000608.jpg,139,14,220,142,500,375,boat
000608.jpg,12,110,420,286,500,375,boat
005764.jpg,1,17,109,461,375,500,person
005764.jpg,26,17,77,87,375,500,head
005764.jpg,56,233,83,258,375,500,hand
005764.jpg,48,384,106,405,375,500,foot
005764.jpg,1,428,47,458,375,500,foot
007615.jpg,297,43,428,365,500,375,bird
007615.jpg,141,160,291,375,500,375,bird
008526.jpg,133,250,274,424,375,500,horse
008526.jpg,255,246,316,385,375,500,horse
008526.jpg,57,218,86,258,375,500,person
008526.jpg,82,203,101,242,375,500,person
008526.jpg,100,176,156,280,375,500,person
009638.jpg,1,252,105,375,500,375,chair
009638.jpg,410,191,500,321,500,375,chair
009638.jpg,358,184,404,212,500,375,chair
009638.jpg,480,178,500,226,500,375,chair
009638.jpg,409,179,450,255,500,375,chair
009638.jpg,1,202,47,275,500,375,chair
009638.jpg,96,3,500,375,500,375,person
009638.jpg,349,155,377,184,500,375,person
009638.jpg,383,160,404,182,500,375,person
009638.jpg,328,156,348,181,500,375,person
009638.jpg,15,153,51,197,500,375,pottedplant
009638.jpg,58,141,97,204,500,375,pottedplant
009638.jpg,337,205,422,280,500,375,diningtable
006084.jpg,141,64,500,282,500,375,cat
001933.jpg,70,43,399,319,500,375,bird
004693.jpg,1,1,143,226,500,333,train
004693.jpg,104,2,500,261,500,333,train
004693.jpg,168,141,218,278,500,333,person
004693.jpg,184,141,199,155,500,333,head
004693.jpg,168,205,178,214,500,333,hand
004693.jpg,209,204,220,211,500,333,hand
004693.jpg,201,253,215,276,500,333,foot
004693.jpg,187,265,197,270,500,333,foot
002584.jpg,84,7,301,484,304,500,person
002584.jpg,1,318,91,500,304,500,person
002584.jpg,67,273,119,348,304,500,person
002584.jpg,1,249,176,346,304,500,car
002584.jpg,253,213,272,269,304,500,person
008917.jpg,211,14,500,500,500,500,cat
000387.jpg,5,18,482,255,500,333,car
003856.jpg,114,152,489,370,500,370,person
003856.jpg,119,21,373,359,500,370,person
003856.jpg,25,114,157,218,500,370,person
003856.jpg,63,134,168,247,500,370,person
002590.jpg,3,272,374,443,375,500,train
004687.jpg,98,83,383,321,500,375,motorbike
004687.jpg,145,34,288,316,500,375,person
004687.jpg,403,84,436,170,500,375,person
004687.jpg,442,100,500,161,500,375,car
005599.jpg,179,146,308,435,347,500,bicycle
005599.jpg,46,171,181,408,347,500,bicycle
005599.jpg,150,27,318,369,347,500,person
005599.jpg,26,37,191,376,347,500,person
001927.jpg,15,92,318,274,500,332,horse
001927.jpg,284,55,349,274,500,332,person
008095.jpg,373,141,500,175,500,375,train
008095.jpg,5,86,390,202,500,375,train
006912.jpg,2,74,500,375,500,375,diningtable
006912.jpg,443,59,500,215,500,375,person
006912.jpg,235,1,267,84,500,375,bottle
006912.jpg,1,75,93,142,500,375,chair
004863.jpg,61,61,421,282,500,375,car
002221.jpg,148,58,375,453,375,500,person
002221.jpg,212,19,366,100,375,500,chair
002221.jpg,1,19,138,281,375,500,chair
002221.jpg,1,74,49,316,375,500,person
002221.jpg,118,22,375,229,375,500,diningtable
002221.jpg,179,2,195,51,375,500,bottle
007359.jpg,373,71,500,195,500,375,tvmonitor
007359.jpg,9,32,341,375,500,375,person
009374.jpg,71,94,461,334,500,334,chair
009374.jpg,58,64,334,334,500,334,person
009374.jpg,145,63,212,167,500,334,head
009374.jpg,124,230,176,269,500,334,hand
009412.jpg,31,62,101,116,500,375,bus
009412.jpg,75,85,255,375,500,375,person
009412.jpg,317,40,500,375,500,375,person
004136.jpg,71,101,451,338,500,375,bicycle
004136.jpg,146,32,323,368,500,375,person
004136.jpg,447,36,500,91,500,375,car
004136.jpg,342,26,394,49,500,375,car
004136.jpg,205,18,281,59,500,375,car
004136.jpg,83,19,132,39,500,375,car
004136.jpg,50,21,86,36,500,375,car
004136.jpg,20,19,43,35,500,375,car
004136.jpg,311,29,344,44,500,375,car
004136.jpg,141,1,314,45,500,375,bus
002547.jpg,195,142,272,284,500,375,bird
004122.jpg,262,325,299,396,375,500,person
004122.jpg,207,313,247,363,375,500,person
004122.jpg,121,333,155,456,375,500,person
004122.jpg,147,341,170,440,375,500,person
004122.jpg,163,342,188,443,375,500,person
004122.jpg,183,344,209,446,375,500,person
004122.jpg,203,344,230,447,375,500,person
004122.jpg,219,352,252,458,375,500,person
004122.jpg,242,348,265,443,375,500,person
004122.jpg,267,340,301,443,375,500,person
003895.jpg,1,2,500,246,500,332,train
